Band Code,Band,Range Code,Range Name,Chapter Code,Chapter Name,Section Code,Section Number,Section Name,Section Folder,Repository Path,GitHub URL
000-099,S-ATLAS,000-009,General Information and Service,008,Levelling and Weighing,008-300,300,Weight and Balance Reference Data,008-300_Weight-and-Balance-Reference-Data,01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q+ATLANTIDE/000-099_S-ATLAS/000-009_General-Information-and-Service/008_Levelling-and-Weighing/008-300_Weight-and-Balance-Reference-Data,https://github.com/AmedeoPelliccia/Q-plus-A/tree/main/01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q%2BATLANTIDE/000-099_S-ATLAS/000-009_General-Information-and-Service/008_Levelling-and-Weighing/008-300_Weight-and-Balance-Reference-Data
000-099,S-ATLAS,000-009,General Information and Service,008,Levelling and Weighing,008-900,900,Energy Carrier Mass and CG Effects Delta,008-900_Energy-Carrier-Mass-and-CG-Effects-Delta,01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q+ATLANTIDE/000-099_S-ATLAS/000-009_General-Information-and-Service/008_Levelling-and-Weighing/008-900_Energy-Carrier-Mass-and-CG-Effects-Delta,https://github.com/AmedeoPelliccia/Q-plus-A/tree/main/01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q%2BATLANTIDE/000-099_S-ATLAS/000-009_General-Information-and-Service/008_Levelling-and-Weighing/008-900_Energy-Carrier-Mass-and-CG-Effects-Delta
000-099,S-ATLAS,000-009,General Information and Service,009,Towing and Taxiing,009-000,000,Towing and Taxiing General,009-000_Towing-and-Taxiing-General,01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q+ATLANTIDE/000-099_S-ATLAS/000-009_General-Information-and-Service/009_Towing-and-Taxiing/009-000_Towing-and-Taxiing-General,https://github.com/AmedeoPelliccia/Q-plus-A/tree/main/01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q%2BATLANTIDE/000-099_S-ATLAS/000-009_General-Information-and-Service/009_Towing-and-Taxiing/009-000_Towing-and-Taxiing-General
000-099,S-ATLAS,000-009,General Information and Service,009,Towing and Taxiing,009-100,100,Towing Procedures and Limits,009-100_Towing-Procedures-and-Limits,01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q+ATLANTIDE/000-099_S-ATLAS/000-009_General-Information-and-Service/009_Towing-and-Taxiing/009-100_Towing-Procedures-and-Limits,https://github.com/AmedeoPelliccia/Q-plus-A/tree/main/01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q%2BATLANTIDE/000-099_S-ATLAS/000-009_General-Information-and-Service/009_Towing-and-Taxiing/009-100_Towing-Procedures-and-Limits
000-099,S-ATLAS,000-009,General Information and Service,009,Towing and Taxiing,009-200,200,Taxiing Procedures and Limits,009-200_Taxiing-Procedures-and-Limits,01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q+ATLANTIDE/000-099_S-ATLAS/000-009_General-Information-and-Service/009_Towing-and-Taxiing/009-200_Taxiing-Procedures-and-Limits,https://github.com/AmedeoPelliccia/Q-plus-A/tree/main/01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q%2BATLANTIDE/000-099_S-ATLAS/000-009_General-Information-and-Service/009_Towing-and-Taxiing/009-200_Taxiing-Procedures-and-Limits
000-099,S-ATLAS,000-009,General Information and Service,009,Towing and Taxiing,009-900,900,Electrified and Energy Carrier Ground Movement Delta,009-900_Electrified-and-Energy-Carrier-Ground-Movement-Delta,01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q+ATLANTIDE/000-099_S-ATLAS/000-009_General-Information-and-Service/009_Towing-and-Taxiing/009-900_Electrified-and-Energy-Carrier-Ground-Movement-Delta,https://github.com/AmedeoPelliccia/Q-plus-A/tree/main/01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q%2BATLANTIDE/000-099_S-ATLAS/000-009_General-Information-and-Service/009_Towing-and-Taxiing/009-900_Electrified-and-Energy-Carrier-Ground-Movement-Delta
000-099,S-ATLAS,010-019,Ground Handling and Servicing,010,Parking Mooring Storage and Return to Service,010-000,000,General,010-000_General,01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q+ATLANTIDE/000-099_S-ATLAS/010-019_Ground-Handling-and-Servicing/010_Parking-Mooring-Storage-and-Return-to-Service/010-000_General,https://github.com/AmedeoPelliccia/Q-plus-A/tree/main/01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q%2BATLANTIDE/000-099_S-ATLAS/010-019_Ground-Handling-and-Servicing/010_Parking-Mooring-Storage-and-Return-to-Service/010-000_General
000-099,S-ATLAS,010-019,Ground Handling and Servicing,010,Parking Mooring Storage and Return to Service,010-100,100,Parking and Storage,010-100_Parking-and-Storage,01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q+ATLANTIDE/000-099_S-ATLAS/010-019_Ground-Handling-and-Servicing/010_Parking-Mooring-Storage-and-Return-to-Service/010-100_Parking-and-Storage,https://github.com/AmedeoPelliccia/Q-plus-A/tree/main/01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q%2BATLANTIDE/000-099_S-ATLAS/010-019_Ground-Handling-and-Servicing/010_Parking-Mooring-Storage-and-Return-to-Service/010-100_Parking-and-Storage
000-099,S-ATLAS,010-019,Ground Handling and Servicing,010,Parking Mooring Storage and Return to Service,010-200,200,Mooring,010-200_Mooring,01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q+ATLANTIDE/000-099_S-ATLAS/010-019_Ground-Handling-and-Servicing/010_Parking-Mooring-Storage-and-Return-to-Service/010-200_Mooring,https://github.com/AmedeoPelliccia/Q-plus-A/tree/main/01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q%2BATLANTIDE/000-099_S-ATLAS/010-019_Ground-Handling-and-Servicing/010_Parking-Mooring-Storage-and-Return-to-Service/010-200_Mooring
000-099,S-ATLAS,010-019,Ground Handling and Servicing,010,Parking Mooring Storage and Return to Service,010-300,300,Return to Service,010-300_Return-to-Service,01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q+ATLANTIDE/000-099_S-ATLAS/010-019_Ground-Handling-and-Servicing/010_Parking-Mooring-Storage-and-Return-to-Service/010-300_Return-to-Service,https://github.com/AmedeoPelliccia/Q-plus-A/tree/main/01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q%2BATLANTIDE/000-099_S-ATLAS/010-019_Ground-Handling-and-Servicing/010_Parking-Mooring-Storage-and-Return-to-Service/010-300_Return-to-Service
000-099,S-ATLAS,010-019,Ground Handling and Servicing,010,Parking Mooring Storage and Return to Service,010-900,900,Energy State Preservation During Storage,010-900_Energy-State-Preservation-During-Storage,01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q+ATLANTIDE/000-099_S-ATLAS/010-019_Ground-Handling-and-Servicing/010_Parking-Mooring-Storage-and-Return-to-Service/010-900_Energy-State-Preservation-During-Storage,https://github.com/AmedeoPelliccia/Q-plus-A/tree/main/01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q%2BATLANTIDE/000-099_S-ATLAS/010-019_Ground-Handling-and-Servicing/010_Parking-Mooring-Storage-and-Return-to-Service/010-900_Energy-State-Preservation-During-Storage
000-099,S-ATLAS,010-019,Ground Handling and Servicing,011,Placards and Markings,011-000,000,General,011-000_General,01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q+ATLANTIDE/000-099_S-ATLAS/010-019_Ground-Handling-and-Servicing/011_Placards-and-Markings/011-000_General,https://github.com/AmedeoPelliccia/Q-plus-A/tree/main/01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q%2BATLANTIDE/000-099_S-ATLAS/010-019_Ground-Handling-and-Servicing/011_Placards-and-Markings/011-000_General
000-099,S-ATLAS,010-019,Ground Handling and Servicing,011,Placards and Markings,011-100,100,Exterior Colour Schemes and Markings,011-100_Exterior-Colour-Schemes-and-Markings,01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q+ATLANTIDE/000-099_S-ATLAS/010-019_Ground-Handling-and-Servicing/011_Placards-and-Markings/011-100_Exterior-Colour-Schemes-and-Markings,https://github.com/AmedeoPelliccia/Q-plus-A/tree/main/01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q%2BATLANTIDE/000-099_S-ATLAS/010-019_Ground-Handling-and-Servicing/011_Placards-and-Markings/011-100_Exterior-Colour-Schemes-and-Markings
000-099,S-ATLAS,010-019,Ground Handling and Servicing,011,Placards and Markings,011-200,200,Exterior Placards and Markings,011-200_Exterior-Placards-and-Markings,01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q+ATLANTIDE/000-099_S-ATLAS/010-019_Ground-Handling-and-Servicing/011_Placards-and-Markings/011-200_Exterior-Placards-and-Markings,https://github.com/AmedeoPelliccia/Q-plus-A/tree/main/01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q%2BATLANTIDE/000-099_S-ATLAS/010-019_Ground-Handling-and-Servicing/011_Placards-and-Markings/011-200_Exterior-Placards-and-Markings
000-099,S-ATLAS,010-019,Ground Handling and Servicing,011,Placards and Markings,011-210,210,Fuselage Placards,011-210_Fuselage-Placards,01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q+ATLANTIDE/000-099_S-ATLAS/010-019_Ground-Handling-and-Servicing/011_Placards-and-Markings/011-210_Fuselage-Placards,https://github.com/AmedeoPelliccia/Q-plus-A/tree/main/01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q%2BATLANTIDE/000-099_S-ATLAS/010-019_Ground-Handling-and-Servicing/011_Placards-and-Markings/011-210_Fuselage-Placards
000-099,S-ATLAS,010-019,Ground Handling and Servicing,011,Placards and Markings,011-230,230,Landing Gear Placards,011-230_Landing-Gear-Placards,01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q+ATLANTIDE/000-099_S-ATLAS/010-019_Ground-Handling-and-Servicing/011_Placards-and-Markings/011-230_Landing-Gear-Placards,https://github.com/AmedeoPelliccia/Q-plus-A/tree/main/01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q%2BATLANTIDE/000-099_S-ATLAS/010-019_Ground-Handling-and-Servicing/011_Placards-and-Markings/011-230_Landing-Gear-Placards
000-099,S-ATLAS,010-019,Ground Handling and Servicing,011,Placards and Markings,011-250,250,Wing Placards,011-250_Wing-Placards,01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q+ATLANTIDE/000-099_S-ATLAS/010-019_Ground-Handling-and-Servicing/011_Placards-and-Markings/011-250_Wing-Placards,https://github.com/AmedeoPelliccia/Q-plus-A/tree/main/01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q%2BATLANTIDE/000-099_S-ATLAS/010-019_Ground-Handling-and-Servicing/011_Placards-and-Markings/011-250_Wing-Placards
000-099,S-ATLAS,010-019,Ground Handling and Servicing,011,Placards and Markings,011-260,260,Propulsion Module and Pylon Placards,011-260_Propulsion-Module-and-Pylon-Placards,01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q+ATLANTIDE/000-099_S-ATLAS/010-019_Ground-Handling-and-Servicing/011_Placards-and-Markings/011-260_Propulsion-Module-and-Pylon-Placards,https://github.com/AmedeoPelliccia/Q-plus-A/tree/main/01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q%2BATLANTIDE/000-099_S-ATLAS/010-019_Ground-Handling-and-Servicing/011_Placards-and-Markings/011-260_Propulsion-Module-and-Pylon-Placards
000-099,S-ATLAS,010-019,Ground Handling and Servicing,011,Placards and Markings,011-300,300,Interior Placards,011-300_Interior-Placards,01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q+ATLANTIDE/000-099_S-ATLAS/010-019_Ground-Handling-and-Servicing/011_Placards-and-Markings/011-300_Interior-Placards,https://github.com/AmedeoPelliccia/Q-plus-A/tree/main/01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q%2BATLANTIDE/000-099_S-ATLAS/010-019_Ground-Handling-and-Servicing/011_Placards-and-Markings/011-300_Interior-Placards
000-099,S-ATLAS,010-019,Ground Handling and Servicing,011,Placards and Markings,011-310,310,Cockpit Placards and Markings,011-310_Cockpit-Placards-and-Markings,01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q+ATLANTIDE/000-099_S-ATLAS/010-019_Ground-Handling-and-Servicing/011_Placards-and-Markings/011-310_Cockpit-Placards-and-Markings,https://github.com/AmedeoPelliccia/Q-plus-A/tree/main/01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q%2BATLANTIDE/000-099_S-ATLAS/010-019_Ground-Handling-and-Servicing/011_Placards-and-Markings/011-310_Cockpit-Placards-and-Markings
000-099,S-ATLAS,010-019,Ground Handling and Servicing,011,Placards and Markings,011-320,320,Passenger Cabin Placards and Markings,011-320_Passenger-Cabin-Placards-and-Markings,01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q+ATLANTIDE/000-099_S-ATLAS/010-019_Ground-Handling-and-Servicing/011_Placards-and-Markings/011-320_Passenger-Cabin-Placards-and-Markings,https://github.com/AmedeoPelliccia/Q-plus-A/tree/main/01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q%2BATLANTIDE/000-099_S-ATLAS/010-019_Ground-Handling-and-Servicing/011_Placards-and-Markings/011-320_Passenger-Cabin-Placards-and-Markings
000-099,S-ATLAS,010-019,Ground Handling and Servicing,011,Placards and Markings,011-330,330,Cargo Compartment Placards and Markings,011-330_Cargo-Compartment-Placards-and-Markings,01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q+ATLANTIDE/000-099_S-ATLAS/010-019_Ground-Handling-and-Servicing/011_Placards-and-Markings/011-330_Cargo-Compartment-Placards-and-Markings,https://github.com/AmedeoPelliccia/Q-plus-A/tree/main/01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q%2BATLANTIDE/000-099_S-ATLAS/010-019_Ground-Handling-and-Servicing/011_Placards-and-Markings/011-330_Cargo-Compartment-Placards-and-Markings
000-099,S-ATLAS,010-019,Ground Handling and Servicing,011,Placards and Markings,011-900,900,Energy Carrier Hazard Placards,011-900_Energy-Carrier-Hazard-Placards,01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q+ATLANTIDE/000-099_S-ATLAS/010-019_Ground-Handling-and-Servicing/011_Placards-and-Markings/011-900_Energy-Carrier-Hazard-Placards,https://github.com/AmedeoPelliccia/Q-plus-A/tree/main/01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q%2BATLANTIDE/000-099_S-ATLAS/010-019_Ground-Handling-and-Servicing/011_Placards-and-Markings/011-900_Energy-Carrier-Hazard-Placards
000-099,S-ATLAS,010-019,Ground Handling and Servicing,012,Servicing,012-000,000,General,012-000_General,01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q+ATLANTIDE/000-099_S-ATLAS/010-019_Ground-Handling-and-Servicing/012_Servicing/012-000_General,https://github.com/AmedeoPelliccia/Q-plus-A/tree/main/01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q%2BATLANTIDE/000-099_S-ATLAS/010-019_Ground-Handling-and-Servicing/012_Servicing/012-000_General
000-099,S-ATLAS,010-019,Ground Handling and Servicing,012,Servicing,012-100,100,Replenishing,012-100_Replenishing,01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q+ATLANTIDE/000-099_S-ATLAS/010-019_Ground-Handling-and-Servicing/012_Servicing/012-100_Replenishing,https://github.com/AmedeoPelliccia/Q-plus-A/tree/main/01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q%2BATLANTIDE/000-099_S-ATLAS/010-019_Ground-Handling-and-Servicing/012_Servicing/012-100_Replenishing
000-099,S-ATLAS,010-019,Ground Handling and Servicing,012,Servicing,012-110,110,Energy Carrier Servicing,012-110_Energy-Carrier-Servicing,01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q+ATLANTIDE/000-099_S-ATLAS/010-019_Ground-Handling-and-Servicing/012_Servicing/012-110_Energy-Carrier-Servicing,https://github.com/AmedeoPelliccia/Q-plus-A/tree/main/01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q%2BATLANTIDE/000-099_S-ATLAS/010-019_Ground-Handling-and-Servicing/012_Servicing/012-110_Energy-Carrier-Servicing
000-099,S-ATLAS,010-019,Ground Handling and Servicing,012,Servicing,012-120,120,Hydraulic Servicing,012-120_Hydraulic-Servicing,01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q+ATLANTIDE/000-099_S-ATLAS/010-019_Ground-Handling-and-Servicing/012_Servicing/012-120_Hydraulic-Servicing,https://github.com/AmedeoPelliccia/Q-plus-A/tree/main/01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q%2BATLANTIDE/000-099_S-ATLAS/010-019_Ground-Handling-and-Servicing/012_Servicing/012-120_Hydraulic-Servicing
000-099,S-ATLAS,010-019,Ground Handling and Servicing,012,Servicing,012-130,130,Lubricant and Thermal Fluid Servicing,012-130_Lubricant-and-Thermal-Fluid-Servicing,01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q+ATLANTIDE/000-099_S-ATLAS/010-019_Ground-Handling-and-Servicing/012_Servicing/012-130_Lubricant-and-Thermal-Fluid-Servicing,https://github.com/AmedeoPelliccia/Q-plus-A/tree/main/01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q%2BATLANTIDE/000-099_S-ATLAS/010-019_Ground-Handling-and-Servicing/012_Servicing/012-130_Lubricant-and-Thermal-Fluid-Servicing
000-099,S-ATLAS,010-019,Ground Handling and Servicing,012,Servicing,012-140,140,Water Waste Servicing,012-140_Water-Waste-Servicing,01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q+ATLANTIDE/000-099_S-ATLAS/010-019_Ground-Handling-and-Servicing/012_Servicing/012-140_Water-Waste-Servicing,https://github.com/AmedeoPelliccia/Q-plus-A/tree/main/01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q%2BATLANTIDE/000-099_S-ATLAS/010-019_Ground-Handling-and-Servicing/012_Servicing/012-140_Water-Waste-Servicing
000-099,S-ATLAS,010-019,Ground Handling and Servicing,012,Servicing,012-150,150,Gaseous Servicing,012-150_Gaseous-Servicing,01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q+ATLANTIDE/000-099_S-ATLAS/010-019_Ground-Handling-and-Servicing/012_Servicing/012-150_Gaseous-Servicing,https://github.com/AmedeoPelliccia/Q-plus-A/tree/main/01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q%2BATLANTIDE/000-099_S-ATLAS/010-019_Ground-Handling-and-Servicing/012_Servicing/012-150_Gaseous-Servicing
000-099,S-ATLAS,010-019,Ground Handling and Servicing,012,Servicing,012-200,200,Scheduled Servicing,012-200_Scheduled-Servicing,01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q+ATLANTIDE/000-099_S-ATLAS/010-019_Ground-Handling-and-Servicing/012_Servicing/012-200_Scheduled-Servicing,https://github.com/AmedeoPelliccia/Q-plus-A/tree/main/01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q%2BATLANTIDE/000-099_S-ATLAS/010-019_Ground-Handling-and-Servicing/012_Servicing/012-200_Scheduled-Servicing
000-099,S-ATLAS,010-019,Ground Handling and Servicing,012,Servicing,012-210,210,Lubricating Servicing,012-210_Lubricating-Servicing,01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q+ATLANTIDE/000-099_S-ATLAS/010-019_Ground-Handling-and-Servicing/012_Servicing/012-210_Lubricating-Servicing,https://github.com/AmedeoPelliccia/Q-plus-A/tree/main/01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q%2BATLANTIDE/000-099_S-ATLAS/010-019_Ground-Handling-and-Servicing/012_Servicing/012-210_Lubricating-Servicing
000-099,S-ATLAS,010-019,Ground Handling and Servicing,012,Servicing,012-220,220,Cleaning Servicing,012-220_Cleaning-Servicing,01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q+ATLANTIDE/000-099_S-ATLAS/010-019_Ground-Handling-and-Servicing/012_Servicing/012-220_Cleaning-Servicing,https://github.com/AmedeoPelliccia/Q-plus-A/tree/main/01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q%2BATLANTIDE/000-099_S-ATLAS/010-019_Ground-Handling-and-Servicing/012_Servicing/012-220_Cleaning-Servicing
000-099,S-ATLAS,010-019,Ground Handling and Servicing,012,Servicing,012-240,240,Disinfect Servicing,012-240_Disinfect-Servicing,01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q+ATLANTIDE/000-099_S-ATLAS/010-019_Ground-Handling-and-Servicing/012_Servicing/012-240_Disinfect-Servicing,https://github.com/AmedeoPelliccia/Q-plus-A/tree/main/01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q%2BATLANTIDE/000-099_S-ATLAS/010-019_Ground-Handling-and-Servicing/012_Servicing/012-240_Disinfect-Servicing
000-099,S-ATLAS,010-019,Ground Handling and Servicing,012,Servicing,012-250,250,Airframe Servicing,012-250_Airframe-Servicing,01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q+ATLANTIDE/000-099_S-ATLAS/010-019_Ground-Handling-and-Servicing/012_Servicing/012-250_Airframe-Servicing,https://github.com/AmedeoPelliccia/Q-plus-A/tree/main/01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q%2BATLANTIDE/000-099_S-ATLAS/010-019_Ground-Handling-and-Servicing/012_Servicing/012-250_Airframe-Servicing
000-099,S-ATLAS,010-019,Ground Handling and Servicing,012,Servicing,012-300,300,Unscheduled Servicing,012-300_Unscheduled-Servicing,01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q+ATLANTIDE/000-099_S-ATLAS/010-019_Ground-Handling-and-Servicing/012_Servicing/012-300_Unscheduled-Servicing,https://github.com/AmedeoPelliccia/Q-plus-A/tree/main/01_OPTIONS_ARCHITECTURE/01-03_TECHNOLOGIES/01-03-01_Q%2BATLANTIDE/000-099_S-ATLAS/010-019_Ground-Handling-and-Servicing/012_Servicing/012-300_Unscheduled-Servicing
